city,district,street,rooms,size,level,max_levels,floor_state,price_m2,price,lat,lng
Tashkent,Yunusobod, Юнусабад 8-й квартал,3,57.0,4,4,oxirgi qavat,912,52000,41.3714709,69.2810486
Tashkent,Yakkasaroy, 1-й тупик Шота Руставели,2,52.0,4,5,o'rta qavat,1076,56000,41.2911155,69.2611035
Tashkent,Chilonzor, Чиланзар 2-й квартал,2,42.0,4,4,oxirgi qavat,880,37000,41.2807837,69.223683
Tashkent,Chilonzor, Чиланзар 9-й квартал,3,65.0,1,4,1-qavat,761,49500,41.2901628,69.1968618
Tashkent,Chilonzor, площадь Актепа,3,70.0,3,5,o'rta qavat,785,55000,41.3001561,69.2108312
Tashkent,Chilonzor, Чиланзар 6-й квартал,1,28.0,1,4,1-qavat,910,25500,41.2857552,69.2117625
Tashkent,Chilonzor, Чиланзар-16,1,30.0,2,4,o'rta qavat,706,21200,41.274633,69.200587
Tashkent,Yakkasaroy, Саламатина,2,32.0,5,5,oxirgi qavat,625,20000,41.2820131,69.2431373
Tashkent,Uchtepa, Чиланзар-21,2,51.0,3,4,o'rta qavat,513,26200,41.2924208,69.1737654
Tashkent,Chilonzor, Чиланзар-8,1,30.0,1,4,1-qavat,740,22200,41.2894422,69.2058023
Tashkent,Uchtepa, Чиланзар-14,2,30.0,2,5,o'rta qavat,806,24200,41.2962523,69.1909015
Tashkent,Chilonzor, Чиланзар-20,3,67.0,2,5,o'rta qavat,450,30200,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар-17,1,30.0,2,4,o'rta qavat,706,21200,41.271386,69.1961168
Tashkent,Chilonzor, Чиланзар-19,1,30.0,2,4,o'rta qavat,706,21200,41.2710841,69.1849411
Tashkent,Chilonzor, Чиланзар-19,1,35.0,1,5,1-qavat,642,22500,41.2710841,69.1849411
Tashkent,Chilonzor, Г9а,1,43.0,4,4,oxirgi qavat,523,22500,41.259418,69.1804708
Tashkent,Chilonzor, Чиланзар-7,2,51.0,2,4,o'rta qavat,415,21200,41.2948119,69.2087824
Tashkent,Mirzo Ulug‘bek, Феруза,3,65.0,1,4,1-qavat,500,32500,41.3576548,69.3675816
Tashkent,Chilonzor, Чиланзар-17,2,51.0,2,4,o'rta qavat,435,22200,41.271386,69.1961168
Tashkent,Chilonzor, Чиланзар-9,2,51.0,2,4,o'rta qavat,474,24200,41.2901628,69.1968618
Tashkent,Yakkasaroy, Кушбеги,4,90.0,5,5,oxirgi qavat,500,45000,41.2673079,69.2415634
Tashkent,Chilonzor, 1-й проезд Заргарлик,4,80.0,3,4,o'rta qavat,700,56000,41.2769954,69.1962495
Tashkent,Yashnobod, Садыка Азимова (Жуковского) ,2,70.0,5,5,oxirgi qavat,671,47000,41.3052221,69.2898134
Tashkent,Mirzo Ulug‘bek, ТТЗ-4,3,69.0,1,4,1-qavat,723,49900,41.3619703,69.3875774
Tashkent,Mirobod, Афросиёб,3,80.0,2,4,o'rta qavat,950,76000,41.3035042,69.2680561
Tashkent,Uchtepa, Чиланзар 13-й квартал махалля Кухна-Чупонота,3,96.0,3,4,o'rta qavat,677,65000,41.2902787,69.1839655
Tashkent,Uchtepa, Чиланзар 11-й квартал,4,76.0,4,4,oxirgi qavat,625,47500,41.2770171,69.1909015
Tashkent,Uchtepa, Чиланзар 13-й квартал,2,45.0,4,5,o'rta qavat,666,30000,41.290141,69.1871763
Tashkent,Chilonzor, Чиланзар 5-й квартал,1,27.0,3,4,o'rta qavat,1185,32000,41.2916859,69.2177228
Tashkent,Uchtepa, Чиланзар 30-й квартал,2,65.0,3,9,o'rta qavat,676,44000,41.2978921,69.1804708
Tashkent,Chilonzor, Чиланзар 2-й квартал,2,64.0,3,4,o'rta qavat,882,56500,41.2807837,69.223683
Tashkent,Chilonzor, Чиланзар 7-й квартал,1,42.0,5,9,o'rta qavat,833,35000,41.2948119,69.2087824
